Internal ID,NAICS Code ID,Primary Name,NAICS Sector,NAICS Sub Sector,GICS Sector,GICS Industry Group,GICS Sub Industry,Supply Chain Tier,Contagion Score,material_id,material_name,hs_code,market_ticker,origin_country_1,o1_market_share,origin_country_2,o2_market_share,origin_country_3,o3_market_share,refining_country_1,r1_market_share,refining_country_2,r2_market_share,refining_country_3,r3_market_share,primary_transit_vehicle,cost_weight_metric,substitute_material_id,substitutability_index,search_tags
PC_311111,311111,Dog and Cat Food Manufacturing ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,4.4,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311119,311119,Other Animal Food Manufacturing ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,4.2,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311211,311211,Flour Milling ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,2.3,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311212,311212,Rice Milling ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,2.5,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311213,311213,Malt Manufacturing ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,2.6,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311221,311221,Wet Corn Milling and Starch Manufacturing ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,3.1,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311224,311224,Soybean and Other Oilseed Processing ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,2.1,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311225,311225,Fats and Oils Refining and Blending ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,2,2.8,MAT_CRD_01,Crude Oil,270900,NYMEX: CL,USA,20%,Saudi Arabia,12%,Russia,11%,USA,20%,China,18%,India,7%,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311225,311225,Fats and Oils Refining and Blending ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,2,2.8,MAT_NGS_01,Natural Gas,271121,NYMEX: NG,USA,24%,Russia,17%,Iran,6%,USA,24%,Russia,17%,Qatar,6%,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311225,311225,Fats and Oils Refining and Blending ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,2,2.8,MAT_PLT_01,Platinum,711011,NYMEX: PL,South Africa,70%,Russia,10%,Zimbabwe,8%,South Africa,70%,UK,10%,Russia,10%,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_31123,31123,Breakfast Cereal Manufacturing,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,2.3,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311313,311313,Beet Sugar Manufacturing ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,3.9,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311314,311314,Cane Sugar Manufacturing ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,3.2,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_31134,31134,Nonchocolate Confectionery Manufacturing,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,4.9,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311351,311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,3.6,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311352,311352,Confectionery Manufacturing from Purchased Chocolate ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,4.5,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311411,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,3.6,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311412,311412,Frozen Specialty Food Manufacturing ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,4.3,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
PC_311421,311421,Fruit and Vegetable Canning ,Manufacturing,Food Manufacturing,Consumer Staples,"Food, Beverage & Tobacco",Packaged Foods & Meats,1,2.4,,,,,,,,,,,,,,,,,[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta],[Unlock in Beta]
