Source Node,Source Tier,Target Node,Target Tier,Edge Type
Crude Oil,Tier 4,Fats and Oils Refining and Blending ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Fats and Oils Refining and Blending ,Tier 2,Raw Material Flow
Platinum,Tier 4,Fats and Oils Refining and Blending ,Tier 2,Raw Material Flow
Natural Rubber,Tier 4,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills ",Tier 2,Raw Material Flow
Crude Oil,Tier 4,Petroleum Refineries,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Petroleum Refineries,Tier 2,Raw Material Flow
Platinum,Tier 4,Petroleum Refineries,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Raw Material Flow
Platinum,Tier 4,Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,All Other Petroleum and Coal Products Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,All Other Petroleum and Coal Products Manufacturing ,Tier 2,Raw Material Flow
Platinum,Tier 4,All Other Petroleum and Coal Products Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Petrochemical Manufacturing,Tier 3,Raw Material Flow
Natural Gas,Tier 4,Petrochemical Manufacturing,Tier 3,Raw Material Flow
Crude Oil,Tier 4,Industrial Gas Manufacturing,Tier 3,Raw Material Flow
Natural Gas,Tier 4,Industrial Gas Manufacturing,Tier 3,Raw Material Flow
Crude Oil,Tier 4,Synthetic Dye and Pigment Manufacturing,Tier 3,Raw Material Flow
Natural Gas,Tier 4,Synthetic Dye and Pigment Manufacturing,Tier 3,Raw Material Flow
Crude Oil,Tier 4,Other Basic Inorganic Chemical Manufacturing ,Tier 3,Raw Material Flow
Natural Gas,Tier 4,Other Basic Inorganic Chemical Manufacturing ,Tier 3,Raw Material Flow
Crude Oil,Tier 4,Ethyl Alcohol Manufacturing ,Tier 3,Raw Material Flow
Natural Gas,Tier 4,Ethyl Alcohol Manufacturing ,Tier 3,Raw Material Flow
Crude Oil,Tier 4,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Raw Material Flow
Natural Gas,Tier 4,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",Tier 3,Raw Material Flow
Crude Oil,Tier 4,All Other Basic Organic Chemical Manufacturing ,Tier 3,Raw Material Flow
Natural Gas,Tier 4,All Other Basic Organic Chemical Manufacturing ,Tier 3,Raw Material Flow
Polypropylene,Tier 4,Plastics Material and Resin Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Plastics Material and Resin Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Plastics Material and Resin Manufacturing ,Tier 2,Raw Material Flow
Natural Rubber,Tier 4,Synthetic Rubber Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Synthetic Rubber Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Synthetic Rubber Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Artificial and Synthetic Fibers and Filaments Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Artificial and Synthetic Fibers and Filaments Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Nitrogenous Fertilizer Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Nitrogenous Fertilizer Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Phosphatic Fertilizer Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Phosphatic Fertilizer Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Fertilizer (Mixing Only) Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Fertilizer (Mixing Only) Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Compost Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Compost Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Pesticide and Other Agricultural Chemical Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Pesticide and Other Agricultural Chemical Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Medicinal and Botanical Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Medicinal and Botanical Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Pharmaceutical Preparation Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Pharmaceutical Preparation Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,In-Vitro Diagnostic Substance Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,In-Vitro Diagnostic Substance Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Biological Product (except Diagnostic) Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Biological Product (except Diagnostic) Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Paint and Coating Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Paint and Coating Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Adhesive Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Adhesive Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Soap and Other Detergent Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Soap and Other Detergent Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Polish and Other Sanitation Good Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Polish and Other Sanitation Good Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Surface Active Agent Manufacturing ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Surface Active Agent Manufacturing ,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Toilet Preparation Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Toilet Preparation Manufacturing,Tier 2,Raw Material Flow
Platinum,Tier 4,Toilet Preparation Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Printing Ink Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Printing Ink Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Explosives Manufacturing,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Explosives Manufacturing,Tier 2,Raw Material Flow
Crude Oil,Tier 4,Custom Compounding of Purchased Resins ,Tier 2,Raw Material Flow
Natural Gas,Tier 4,Custom Compounding of Purchased Resins ,Tier 2,Raw Material Flow
